,Year,Month,First Day of Weekend,Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
365,2016,02,26,5,Goosebumps,USA/ Aus,499446,Sony Pictures,-0.6199437349378337,4,526,949.5171102661596,8152609
366,2016,02,26,6,The Forest,USA,448258,Icon,-,1,344,1303.0755813953488,448258
367,2016,02,26,7,The Revenant,USA,433363,20th Century Fox,-0.3739338341519792,7,421,1029.3657957244657,21759689
368,2016,02,26,8,Dad's Army,UK,363608,Universal,-0.5626063086276293,4,415,876.1638554216868,7713149
369,2016,02,26,9,Zoolander 2,USA,310204,Paramount,-0.597866203436631,3,415,747.4795180722891,4535472
370,2016,02,26,10,Triple 9,USA,292606,eOne Films,-0.6416320178766425,2,432,677.3287037037037,1471050.25035955
371,2016,02,26,11,Spotlight,USA,191486,eOne Films,-0.4168857264993435,5,289,662.5813148788927,4786338.965446971
372,2016,02,26,12,Star Wars: The Force Awakens,UK/USA,177871,Disney,-0.5187212511499542,11,244,728.9795081967213,122601673
373,2016,02,26,13,The Big Short,USA,165906,Paramount,-0.3096081262718106,6,150,1106.04,5494586
374,2016,02,26,14,Snoopy And Charlie Brown: The Peanuts Movie,USA,119868,20th Century Fox,1.2052395319743912,10,385,311.3454545454545,10007658
375,2016,02,26,15,Secret In Their Eyes,USA,117094,Universal,-,1,110,1064.490909090909,117094
376,2016,02,26,28,Brooklyn,UK/Ire/Can,24395,Lionsgate,0.05132735735218066,17,67,364.1044776119403,5737428
377,2016,02,26,29,Youth,UK/Fra/Sui/Ita,23858,StudioCanal,-0.20732274569738848,5,33,722.969696969697,843316
378,2016,02,26,34,Pride and Prejudice and Zombies,UK/USA,17537,Lionsgate,-0.7540772110894531,3,42,417.54761904761904,718407
379,2016,02,26,37,Branagh Theatre Live: The Winter’s Tale 2015 (Theatre),UK,17087,Picture House Entertainment,2.3037509667480243,15,11,1553.3636363636365,1928448.1895305072
380,2016,02,26,39,Gravity,UK/USA,16362,Warner Bros,-,121,17,962.4705882352941,32741317
381,2016,02,26,42,The Danish Girl,UK/Ger,11983,Universal,-0.5664489444153257,9,36,332.8611111111111,7291581.399017847
382,2016,02,26,43,The Lady in the Van,UK,11821,Sony Pictures,0.5822513719716237,16,15,788.0666666666667,13114129
383,2016,02,26,52,Carol,UK/USA,6434,StudioCanal,2.292732855680655,14,14,459.57142857142856,2712805
384,2016,02,26,65,As You Like It - NT Live 2016 (Theatre),UK,2422,National Theatre/ Picture House Entertainment,-,2,2,1211,513968.42116772
385,2016,02,26,70,The Truth Commissioner,UK,1776,Wildcard,-,1,2,888,1776
386,2016,02,26,71,Lee Scratch Perry's Vision Of Paradise,UK/Ger/Swi/Jam/Eth,1667,Independent,-,4,5,333.4,5814
387,2016,02,26,72,Steve Jobs,UK/USA,1388,Universal,-0.5396351575456053,16,4,347,2364587
388,2016,02,26,73,The Survivalist,UK,1300,Bulldog Film Distribution,0.3157894736842105,3,3,433.3333333333333,21575
389,2016,02,26,76,Pan,UK/USA/Aus,1169,Warner Bros,0.6258692628650905,20,5,233.8,9223837
390,2016,02,26,80,Sunset Song,UK/Lux,844,Metrodome,0.02179176755447942,13,2,422,480608
391,2016,02,26,82,Innocence of Memories,UK,827,Soda,-0.25962399283795884,5,3,275.6666666666667,25527
392,2016,02,26,83,SPECTRE,UK/USA,788,Sony Pictures,0.15373352855051245,18,2,394,95179832
393,2016,02,26,85,Suffragette,UK,723,20th Century Fox,-,20,2,361.5,9946166
394,2016,02,26,90,The Lobster,UK/Fra/Gre/Ned/Ire,571,Element Pictures,-0.18892045454545459,20,1,571,1519704
395,2016,02,26,97,Power In Our Hands,UK,266,Independent Cinema Office,-0.6598465473145781,4,1,266,4031
396,2016,02,26,101,Hector,UK,193,Miracle Communications,-,12,1,193,55453
397,2016,02,26,102,45 Years,UK,148,Curzon/Artificial Eye,2.148936170212766,27,3,49.333333333333336,1824862
398,2016,02,26,112,Orthodox,UK,27,Independent,-0.9586523736602097,2,1,27,2937.9999999873
399,2016,02,26,35,Action Hero Biju,Ind,17464,Blue Print,,1,32,545.75,17464
400,2016,02,26,49,Tere Bin Laden: Dead Or Alive,Ind,7137,Reliance Big Pictures ,,1,9,793,7137
401,2016,02,26,53,Kanithan,Ind,6329,Q Entertainment,,1,5,1265.8,6329
402,2016,02,26,60,The Propaganda Game,Spain,4132,Metrodome,,1,4,1033,4132
403,2016,02,26,64,King Jack,USA,2479,Vertigo,,1,5,495.8,2479
404,2016,02,26,66,Remember,Can/Ger,2216,StudioCanal,,1,2,1108,2216
405,2016,02,26,78,Sant Te Sipahi,Ind,925,Blue Sapphire,,1,5,185,925
406,2016,02,26,100,The Hexecutioners,Can,199,StudioCanal,,1,1,199,199
407,2016,02,26,106,Exposed,USA,88,Signature Entertainment,,1,5,17.6,88
408,2016,02,26,113,The Benefactor,USA,25,Arrow Films,,1,2,12.5,25
